avgpathtokenlen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,CharacterContinuityRate,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,Entropy_Domain,class
21.8,0.843,0.015,0.143,0.105,8.071,0.018,0.5,0.134,0.148,-1,0.873,malware
21.8,0.843,0.015,0.143,0.105,8.071,0.018,0.5,0.134,0.148,-1,0.873,malware
21.8,0.843,0.015,0.143,0.105,8.071,0.018,0.5,0.134,0.148,-1,0.873,malware
21.8,0.826,0.015,0.118,0.123,6.706,0.018,0.588,0.5,0.719,-1,0.806,phishing
21.8,0.826,0.015,0.118,0.123,6.706,0.018,0.588,0.486,0.656,-1,0.806,phishing
21.8,0.826,0.015,0.118,0.123,6.706,0.018,0.588,0.428,0.469,-1,0.806,phishing
21.8,0.82,0.014,0.111,0.13,6.333,0.018,0.611,0.504,0.781,-1,0.767,phishing
21.8,0.82,0.014,0.111,0.13,6.333,0.018,0.611,0.511,0.719,-1,0.767,phishing
21.8,0.82,0.014,0.111,0.13,6.333,0.018,0.611,0.489,0.656,-1,0.767,phishing
21.8,0.82,0.014,0.111,0.13,6.333,0.018,0.611,0.46,0.5,-1,0.767,phishing
21.8,0.819,0.015,0.111,0.13,6.278,0.018,0.611,0.159,0.176,-1,0.883,malware
21.8,0.819,0.015,0.111,0.13,6.278,0.018,0.611,0.159,0.176,-1,0.883,malware
21.8,0.819,0.015,0.111,0.13,6.278,0.018,0.611,0.159,0.176,-1,0.883,malware
21.667,0.834,0.012,0.105,0.117,7.158,0.015,0.421,0.172,0.219,-1,0.901,phishing
21.667,0.84,0.012,0.105,0.117,7.158,0.015,0.421,0.173,0.219,-1,0.901,phishing
21.5,0.895,0.01,0.143,0.07,12.786,0.011,0.5,0.445,0.646,-1,0.798,malware
21.5,0.895,0.01,0.143,0.07,12.786,0.011,0.5,0.445,0.646,-1,0.798,malware
21.5,0.895,0.01,0.143,0.07,12.786,0.011,0.5,0.445,0.646,-1,0.798,malware
21,0.821,0.015,0.118,0.127,6.471,0.018,0.647,0.306,0.719,-1,0.719,phishing
21,0.821,0.015,0.118,0.127,6.471,0.018,0.647,0.269,0.563,-1,0.719,phishing
20.714,0.83,0.011,0.083,0.132,6.292,0.013,0.375,0.093,0.113,-1,0.739,phishing
20.667,0.859,0.009,0.08,0.11,7.8,0.01,0.72,0.084,0,-1,0.767,phishing
20.2,0.785,0.015,0.091,0.163,4.818,0.019,0.364,0.459,0,-1,0.85,phishing
20,0.744,0.012,0.056,0.214,3.472,0.016,0.806,0.054,0,-1,0.736,phishing
19.5,0.586,0.029,0.091,0.314,1.864,0.049,0.636,0.557,0.923,-1,0.809,phishing
19.5,0.719,0.035,0.222,0.158,4.556,0.049,0.667,0.509,0.744,-1,0.86,phishing
19.5,0.786,0.019,0.133,0.146,5.4,0.025,0.533,0.126,0.132,-1,0.795,malware
19.5,0.786,0.019,0.133,0.146,5.4,0.025,0.533,0.126,0.132,-1,0.795,malware
19.5,0.732,0.012,0.053,0.226,3.237,0.016,0.395,0.107,0.177,-1,0.75,phishing
19.429,0.85,0.012,0.111,0.108,7.889,0.014,0.722,0.09,0,-1,0.803,phishing
19.429,0.899,0.013,0.222,0.057,15.778,0.014,0.778,0.095,0,-1,0.93,phishing
19.4,0.821,0.016,0.133,0.122,6.733,0.02,0.533,0.13,0.146,-1,0.817,malware
19.4,0.821,0.016,0.133,0.122,6.733,0.02,0.533,0.13,0.146,-1,0.817,malware
19.4,0.815,0.016,0.125,0.129,6.313,0.02,0.563,0.121,0.125,-1,0.863,malware
19.4,0.815,0.016,0.125,0.129,6.313,0.02,0.563,0.121,0.125,-1,0.863,malware
19.4,0.815,0.016,0.125,0.129,6.313,0.02,0.563,0.121,0.125,-1,0.863,malware
19.286,0.849,0.012,0.111,0.108,7.833,0.014,0.722,0.09,0,-1,0.803,phishing
19.2,0.826,0.017,0.143,0.116,7.143,0.02,0.5,0.116,0.152,-1,0.784,malware
19.2,0.826,0.017,0.143,0.116,7.143,0.02,0.5,0.116,0.152,-1,0.784,malware
19.2,0.826,0.017,0.143,0.116,7.143,0.02,0.5,0.116,0.152,-1,0.784,malware
18.429,0.834,0.012,0.105,0.117,7.158,0.015,0.421,0.141,0.18,-1,0.901,phishing
18.429,0.834,0.012,0.105,0.117,7.158,0.015,0.421,0.104,-1,-1,0.901,phishing
18.4,0.842,0.018,0.182,0.097,8.727,0.021,0.727,0.228,0.15,-1,0.685,phishing
18.333,0.713,0.025,0.125,0.2,3.563,0.035,0.563,0,0,-1,0.789,phishing
18.286,0.634,0.009,0.028,0.333,1.901,0.015,0.352,0.296,0.781,-1,0.717,phishing
18.286,0.634,0.009,0.028,0.333,1.901,0.015,0.352,0.272,0.625,-1,0.717,phishing
18.286,0.634,0.009,0.028,0.333,1.901,0.015,0.352,0.272,0.625,-1,0.717,phishing
18.286,0.634,0.009,0.028,0.333,1.901,0.015,0.352,0.268,0.594,-1,0.717,phishing
17.75,0.837,0.011,0.091,0.124,6.773,0.013,0.682,0.084,0,-1,0.801,phishing
17.714,0.804,0.012,0.08,0.153,5.24,0.015,0.72,0.466,0.776,-1,0.815,phishing
17.667,0.853,0.01,0.091,0.112,7.636,0.012,0.5,0.416,0.781,-1,0.773,phishing
17.667,0.853,0.01,0.091,0.112,7.636,0.012,0.5,0.411,0.75,-1,0.773,phishing
17.667,0.853,0.01,0.091,0.112,7.636,0.012,0.5,0.391,0.625,-1,0.773,phishing
17.625,0.836,0.011,0.091,0.124,6.727,0.014,0.682,0.085,0,-1,0.801,phishing
17.6,0.836,0.018,0.182,0.1,8.364,0.022,0.727,0.2,0.139,-1,0.75,phishing
17.6,0.836,0.018,0.182,0.1,8.364,0.022,0.727,0.2,0.139,-1,0.685,phishing
17.333,0.802,0.015,0.1,0.147,5.45,0.018,0.65,0.478,0,-1,0.783,phishing
17.2,0.785,0.017,0.111,0.155,5.056,0.022,0.444,0.44,0.797,-1,0.767,phishing
17.2,0.785,0.017,0.111,0.155,5.056,0.022,0.444,0.414,0.75,-1,0.767,phishing
17.2,0.785,0.017,0.111,0.155,5.056,0.022,0.444,0.405,0.734,-1,0.767,phishing
17.2,0.785,0.017,0.111,0.155,5.056,0.022,0.444,0.397,0.719,-1,0.767,phishing
17.2,0.785,0.017,0.111,0.155,5.056,0.022,0.444,0.379,0.688,-1,0.767,phishing
17.2,0.785,0.017,0.111,0.155,5.056,0.022,0.444,0.362,0.656,-1,0.767,phishing
17.2,0.785,0.017,0.111,0.155,5.056,0.022,0.444,0.362,0.656,-1,0.767,phishing
17.2,0.785,0.017,0.111,0.155,5.056,0.022,0.444,0.362,0.656,-1,0.767,phishing
17,0.817,0.018,0.154,0.119,6.846,0.023,0.462,0.101,0.131,-1,0.776,malware
17,0.817,0.018,0.154,0.119,6.846,0.023,0.462,0.101,0.131,-1,0.776,malware
17,0.774,0.017,0.105,0.165,4.684,0.023,0.526,0.513,0.533,-1,0.808,spam
17,0.774,0.017,0.105,0.165,4.684,0.023,0.632,0.104,0.143,-1,0.817,malware
17,0.774,0.017,0.105,0.165,4.684,0.023,0.632,0.104,0.143,-1,0.817,malware
17,0.774,0.017,0.105,0.165,4.684,0.023,0.632,0.104,0.143,-1,0.817,malware
16.8,0.772,0.018,0.105,0.167,4.632,0.023,0.526,0.386,0.511,-1,0.808,spam
16.8,0.83,0.019,0.182,0.104,8,0.023,0.727,0.245,0.125,-1,0.75,phishing
16.667,0.646,0.024,0.091,0.268,2.409,0.038,0.682,0,0,-1,0.87,phishing
16.667,0.646,0.024,0.091,0.268,2.409,0.038,0.682,0,0,-1,0.87,phishing
16.667,0.646,0.024,0.091,0.268,2.409,0.038,0.682,0,0,-1,0.87,phishing
16.667,0.808,0.015,0.111,0.139,5.833,0.019,0.333,0.1,0.13,-1,0.83,malware
16.667,0.802,0.015,0.105,0.145,5.526,0.019,0.526,0.405,0.426,-1,0.808,spam
16.667,0.802,0.015,0.105,0.145,5.526,0.019,0.526,0.405,0.426,-1,0.808,spam
16.667,0.802,0.015,0.105,0.145,5.526,0.019,0.526,0.405,0.426,-1,0.808,spam
16.625,0.815,0.012,0.08,0.145,5.64,0.014,0.72,0.474,0.789,-1,0.815,phishing
16.6,0.793,0.018,0.125,0.144,5.5,0.023,0.563,0.378,0.656,-1,0.82,phishing
16.6,0.793,0.018,0.125,0.144,5.5,0.023,0.563,0.378,0.656,-1,0.82,phishing
16.6,0.793,0.018,0.125,0.144,5.5,0.023,0.563,0.342,0.531,-1,0.82,phishing
16.6,0.807,0.018,0.143,0.128,6.286,0.023,0.786,0.349,0.559,-1,0.85,phishing
16.5,0.614,0.035,0.133,0.263,2.333,0.057,0.867,0.105,0.182,-1,0.864,benign
16.5,0.68,0.019,0.077,0.252,2.692,0.029,0.308,0.427,0.645,-1,0.853,phishing
16.4,0.879,0.01,0.118,0.086,10.235,0.012,0.647,0.54,0.778,-1,0.845,phishing
16.2,0.794,0.019,0.133,0.14,5.667,0.024,0.467,0.103,0.1,-1,0.838,malware
16.2,0.794,0.019,0.133,0.14,5.667,0.024,0.467,0.103,0.1,-1,0.838,malware
16.2,0.787,0.019,0.125,0.148,5.313,0.024,0.563,0.111,0.15,-1,0.813,malware
16.2,0.787,0.019,0.125,0.148,5.313,0.024,0.563,0.111,0.15,-1,0.813,malware
16.2,0.787,0.019,0.125,0.148,5.313,0.024,0.563,0.111,0.15,-1,0.813,malware
16.2,0.78,0.018,0.118,0.156,5,0.024,0.588,0.101,0.138,-1,0.834,malware
16.2,0.78,0.018,0.118,0.156,5,0.024,0.588,0.101,0.138,-1,0.834,malware
16.167,0.85,0.017,0.182,0.092,9.273,0.02,0.727,0.192,0.065,-1,0.685,phishing
16,0.86,0.332,3.2,0.104,8.3,0.386,0.65,0.466,0.442,0.531,0.806,phishing
16,0.485,0.029,0.071,0.412,1.179,0.061,0.286,0.279,0.594,-1,0.786,malware
16,0.524,0.032,0.087,0.365,1.435,0.061,0.609,0.365,0.688,-1,0.762,malware
16,0.541,0.033,0.095,0.344,1.571,0.061,0.619,0.393,0.719,-1,0.87,malware
16,0.159,0.009,0.012,0.808,0.197,0.059,0.075,0.393,0.625,-1,0.562,phishing
16,0.37,0.022,0.039,0.554,0.667,0.059,0.177,0.217,0.625,-1,0.709,phishing
16,0.415,0.024,0.049,0.5,0.829,0.059,0.195,0.244,0.625,-1,0.713,phishing
16,0.354,0.021,0.036,0.573,0.618,0.059,0.255,0.219,0.656,-1,0.709,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.362,0.781,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.333,0.719,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.333,0.719,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.333,0.719,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.333,0.719,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.333,0.719,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.319,0.688,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.304,0.656,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.304,0.656,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.304,0.656,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.304,0.656,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.304,0.656,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.304,0.656,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.304,0.656,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.304,0.656,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.29,0.625,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.29,0.625,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.29,0.625,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.29,0.625,-1,0.786,phishing
16,0.493,0.029,0.071,0.406,1.214,0.059,0.286,0.29,0.625,-1,0.786,phishing
