domain_token_count,avgpathtokenlen,tld,domainlength,ArgUrlRatio,argDomanRatio,argPathRatio,NumberofDotsinURL,CharacterContinuityRate,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,SymbolCount_Domain,Entropy_Domain,Entropy_Extension,class
3.000,2.667,3.000,20.000,0.708,4.600,0.893,3.000,0.650,0.054,0.069,0.076,2.000,0.806,0.684,Defacement
3.000,2.667,3.000,20.000,0.778,6.650,0.924,3.000,0.650,0.047,0.056,0.060,2.000,0.806,0.626,Defacement
3.000,2.667,3.000,20.000,0.753,5.800,0.913,3.000,0.650,0.045,0.056,0.060,2.000,0.806,0.632,Defacement
3.000,1.333,3.000,20.000,0.061,0.100,0.333,3.000,0.650,0.000,0.000,-1.000,2.000,0.806,0.579,Defacement
2.000,3.000,2.000,15.000,0.061,0.133,0.182,2.000,0.800,0.061,0.000,-1.000,1.000,0.829,1.000,Defacement
2.000,2.667,2.000,15.000,0.637,3.867,0.841,2.000,0.800,0.044,0.029,0.034,1.000,0.829,0.737,Defacement
2.000,3.000,2.000,15.000,0.580,3.133,0.797,2.000,0.800,0.086,0.086,0.085,1.000,0.829,0.757,Defacement
2.000,2.667,2.000,15.000,0.641,3.933,0.843,2.000,0.800,0.054,0.043,0.051,1.000,0.829,0.737,Defacement
2.000,2.667,2.000,15.000,0.645,4.000,0.845,2.000,0.800,0.065,0.057,0.067,1.000,0.829,0.742,Defacement
2.000,2.667,2.000,15.000,0.645,4.000,0.845,2.000,0.800,0.065,0.057,0.067,1.000,0.829,0.742,Defacement
2.000,2.667,2.000,15.000,0.641,3.933,0.843,2.000,0.800,0.054,0.043,0.051,1.000,0.829,0.742,Defacement
2.000,2.667,2.000,15.000,0.588,3.133,0.810,2.000,0.800,0.075,0.070,0.085,1.000,0.829,0.741,Defacement
2.000,2.667,2.000,15.000,0.582,3.067,0.807,2.000,0.800,0.063,0.054,0.065,1.000,0.829,0.744,Defacement
2.000,2.667,2.000,15.000,0.582,3.067,0.807,2.000,0.800,0.063,0.054,0.065,1.000,0.829,0.751,Defacement
2.000,2.667,2.000,15.000,0.588,3.133,0.810,2.000,0.800,0.075,0.070,0.085,1.000,0.829,0.757,Defacement
2.000,2.667,2.000,15.000,0.588,3.133,0.810,2.000,0.800,0.075,0.070,0.085,1.000,0.829,0.750,Defacement
2.000,2.667,2.000,15.000,0.588,3.133,0.810,2.000,0.800,0.075,0.070,0.085,1.000,0.829,0.750,Defacement
2.000,2.000,2.000,15.000,0.067,0.133,0.250,2.000,0.800,0.167,0.429,-1.000,1.000,0.829,0.579,Defacement
4.000,3.000,4.000,24.000,0.048,0.083,0.182,4.000,0.583,0.000,0.000,-1.000,3.000,0.766,1.000,Defacement
4.000,4.000,4.000,24.000,0.044,0.083,0.143,4.000,0.583,0.000,0.000,-1.000,3.000,0.766,1.000,Defacement
4.000,2.667,4.000,24.000,0.049,0.083,0.200,4.000,0.583,0.000,0.000,-1.000,3.000,0.766,0.579,Defacement
4.000,2.667,4.000,24.000,0.517,1.875,0.804,4.000,0.583,0.023,0.036,0.044,3.000,0.766,0.745,Defacement
4.000,2.667,4.000,24.000,0.580,2.417,0.841,4.000,0.583,0.020,0.029,0.034,3.000,0.766,0.737,Defacement
4.000,2.667,4.000,24.000,0.523,1.917,0.807,4.000,0.583,0.034,0.054,0.065,3.000,0.766,0.751,Defacement
4.000,2.667,4.000,24.000,0.517,1.875,0.804,4.000,0.583,0.023,0.036,0.044,3.000,0.766,0.745,Defacement
4.000,2.667,4.000,24.000,0.580,2.417,0.841,4.000,0.583,0.020,0.029,0.034,3.000,0.766,0.737,Defacement
4.000,2.667,4.000,24.000,0.580,2.417,0.841,4.000,0.583,0.020,0.029,0.034,3.000,0.766,0.737,Defacement
4.000,2.667,4.000,24.000,0.580,2.417,0.841,4.000,0.583,0.020,0.029,0.034,3.000,0.766,0.737,Defacement
4.000,2.667,4.000,24.000,0.517,1.875,0.804,4.000,0.583,0.023,0.036,0.044,3.000,0.766,0.768,Defacement
4.000,2.667,4.000,24.000,0.567,2.292,0.833,4.000,0.583,0.052,0.077,0.091,3.000,0.766,0.744,Defacement
4.000,2.667,4.000,24.000,0.567,2.292,0.833,4.000,0.583,0.052,0.077,0.091,3.000,0.766,0.741,Defacement
4.000,2.667,4.000,24.000,0.567,2.292,0.833,4.000,0.583,0.052,0.077,0.091,3.000,0.766,0.749,Defacement
4.000,2.667,4.000,24.000,0.567,2.292,0.833,4.000,0.583,0.052,0.077,0.091,3.000,0.766,0.744,Defacement
4.000,2.667,4.000,24.000,0.567,2.292,0.833,4.000,0.583,0.052,0.077,0.091,3.000,0.766,0.749,Defacement
4.000,2.667,4.000,24.000,0.567,2.292,0.833,4.000,0.583,0.052,0.077,0.091,3.000,0.766,0.749,Defacement
4.000,2.667,4.000,24.000,0.567,2.292,0.833,4.000,0.583,0.052,0.077,0.091,3.000,0.766,0.749,Defacement
4.000,2.667,4.000,24.000,0.567,2.292,0.833,4.000,0.583,0.052,0.077,0.091,3.000,0.766,0.749,Defacement
4.000,2.667,4.000,24.000,0.567,2.292,0.833,4.000,0.583,0.052,0.077,0.091,3.000,0.766,0.749,Defacement
4.000,2.667,4.000,24.000,0.567,2.292,0.833,4.000,0.583,0.052,0.077,0.091,3.000,0.766,0.749,Defacement
4.000,2.667,4.000,24.000,0.571,2.333,0.836,4.000,0.583,0.061,0.091,0.107,3.000,0.766,0.741,Defacement
4.000,2.667,4.000,24.000,0.571,2.333,0.836,4.000,0.583,0.061,0.091,0.107,3.000,0.766,0.738,Defacement
4.000,2.667,4.000,24.000,0.571,2.333,0.836,4.000,0.583,0.061,0.091,0.107,3.000,0.766,0.747,Defacement
4.000,2.667,4.000,24.000,0.571,2.333,0.836,4.000,0.583,0.061,0.091,0.107,3.000,0.766,0.741,Defacement
4.000,2.667,4.000,24.000,0.571,2.333,0.836,4.000,0.583,0.061,0.091,0.107,3.000,0.766,0.747,Defacement
4.000,2.667,4.000,24.000,0.571,2.333,0.836,4.000,0.583,0.061,0.091,0.107,3.000,0.766,0.747,Defacement
4.000,2.667,4.000,24.000,0.571,2.333,0.836,4.000,0.583,0.061,0.091,0.107,3.000,0.766,0.747,Defacement
4.000,2.667,4.000,24.000,0.571,2.333,0.836,4.000,0.583,0.061,0.091,0.107,3.000,0.766,0.747,Defacement
4.000,2.667,4.000,24.000,0.571,2.333,0.836,4.000,0.583,0.061,0.091,0.107,3.000,0.766,0.747,Defacement
4.000,1.333,4.000,24.000,0.054,0.083,0.333,4.000,0.583,0.000,0.000,-1.000,3.000,0.766,0.579,Defacement
3.000,3.000,3.000,22.000,0.050,0.091,0.182,3.000,0.727,0.000,0.000,-1.000,2.000,0.862,1.000,Defacement
3.000,3.500,3.000,22.000,0.054,0.091,0.250,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,1.333,3.000,22.000,0.057,0.091,0.333,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,5.667,3.000,22.000,0.042,0.091,0.105,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,3.000,3.000,22.000,0.045,0.091,0.133,3.000,0.727,0.023,0.071,-1.000,2.000,0.862,0.000,Defacement
3.000,2.000,3.000,22.000,0.059,0.091,0.400,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,2.667,3.000,22.000,0.051,0.091,0.200,3.000,0.727,0.026,0.111,-1.000,2.000,0.862,0.000,Defacement
3.000,4.000,3.000,22.000,0.053,0.091,0.222,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,3.500,3.000,22.000,0.054,0.091,0.250,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,8.000,3.000,22.000,0.027,0.091,0.045,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,6.333,3.000,22.000,0.028,0.091,0.047,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,6.600,3.000,22.000,0.030,0.091,0.054,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,8.000,3.000,22.000,0.031,0.091,0.057,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,9.750,3.000,22.000,0.028,0.091,0.048,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,4.667,3.000,22.000,0.044,0.091,0.125,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,8.600,3.000,22.000,0.026,0.091,0.043,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,3.333,3.000,22.000,0.037,0.091,0.080,2.000,0.727,0.037,0.125,-1.000,2.000,0.862,0.000,Defacement
3.000,3.750,3.000,22.000,0.043,0.091,0.111,2.000,0.727,0.043,0.222,-1.000,2.000,0.862,0.000,Defacement
3.000,8.750,3.000,22.000,0.030,0.091,0.053,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,7.500,3.000,22.000,0.032,0.091,0.061,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,4.667,3.000,22.000,0.044,0.091,0.125,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,9.250,3.000,22.000,0.029,0.091,0.050,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,7.800,3.000,22.000,0.028,0.091,0.047,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,9.000,3.000,22.000,0.029,0.091,0.051,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,5.800,3.000,22.000,0.032,0.091,0.061,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,6.400,3.000,22.000,0.031,0.091,0.056,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,3.750,3.000,22.000,0.043,0.091,0.111,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,5.000,3.000,22.000,0.038,0.091,0.087,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,5.333,3.000,22.000,0.030,0.091,0.054,2.000,0.727,0.061,-1.000,-1.000,2.000,0.862,-1.000,Defacement
3.000,5.000,3.000,22.000,0.038,0.091,0.087,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,5.250,3.000,22.000,0.038,0.091,0.083,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,5.500,3.000,22.000,0.037,0.091,0.080,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,4.500,3.000,22.000,0.040,0.091,0.095,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,4.500,3.000,22.000,0.040,0.091,0.095,2.000,0.727,0.000,0.000,-1.000,2.000,0.862,0.000,Defacement
3.000,4.750,3.000,22.000,0.039,0.091,0.091,2.000,0.727,0.039,0.154,-1.000,2.000,0.862,0.000,Defacement
3.000,4.250,3.000,22.000,0.041,0.091,0.100,2.000,0.727,0.041,0.182,-1.000,2.000,0.862,0.000,Defacement
3.000,3.000,3.000,22.000,0.045,0.091,0.133,2.000,0.727,0.045,0.333,-1.000,2.000,0.862,0.000,Defacement
3.000,4.250,3.000,22.000,0.041,0.091,0.100,2.000,0.727,0.041,0.182,-1.000,2.000,0.862,0.000,Defacement
3.000,3.250,3.000,22.000,0.044,0.091,0.125,2.000,0.727,0.067,0.429,-1.000,2.000,0.862,0.000,Defacement
3.000,3.500,3.000,22.000,0.043,0.091,0.118,2.000,0.727,0.043,0.250,-1.000,2.000,0.862,0.000,Defacement
3.000,4.500,3.000,22.000,0.040,0.091,0.095,2.000,0.727,0.040,0.167,-1.000,2.000,0.862,0.000,Defacement
3.000,3.750,3.000,22.000,0.043,0.091,0.111,2.000,0.727,0.043,0.222,-1.000,2.000,0.862,0.000,Defacement
3.000,3.250,3.000,22.000,0.044,0.091,0.125,2.000,0.727,0.044,0.286,-1.000,2.000,0.862,0.000,Defacement
3.000,5.000,3.000,22.000,0.034,0.091,0.069,2.000,0.727,0.034,0.100,-1.000,2.000,0.862,0.000,Defacement
3.000,4.600,3.000,22.000,0.036,0.091,0.074,2.000,0.727,0.036,0.111,-1.000,2.000,0.862,0.000,Defacement
3.000,5.400,3.000,22.000,0.033,0.091,0.065,2.000,0.727,0.033,0.091,-1.000,2.000,0.862,0.000,Defacement
3.000,4.000,3.000,22.000,0.038,0.091,0.083,2.000,0.727,0.113,0.400,-1.000,2.000,0.862,0.000,Defacement
3.000,5.250,3.000,22.000,0.038,0.091,0.083,2.000,0.727,0.038,0.133,-1.000,2.000,0.862,0.000,Defacement
3.000,3.500,3.000,22.000,0.043,0.091,0.118,2.000,0.727,0.043,0.250,-1.000,2.000,0.862,0.000,Defacement
3.000,5.000,3.000,22.000,0.034,0.091,0.069,2.000,0.727,0.034,0.100,-1.000,2.000,0.862,0.000,Defacement
3.000,3.750,3.000,22.000,0.043,0.091,0.111,2.000,0.727,0.106,0.556,-1.000,2.000,0.862,0.000,Defacement
3.000,3.750,3.000,22.000,0.043,0.091,0.111,2.000,0.727,0.106,0.556,-1.000,2.000,0.862,0.000,Defacement
