domain_token_count,executable,NumberofDotsinURL,Arguments_LongestWordLength,NumberRate_Domain,NumberRate_FileName,NumberRate_AfterPath,Entropy_Domain,class
8,0,7,-1,0.133,0.4,-1,0.769,phishing
8,0,7,-1,0.133,0.4,-1,0.761,phishing
8,0,7,-1,0.133,0.4,-1,0.761,phishing
8,0,7,-1,0.133,0.4,-1,0.749,phishing
8,0,7,-1,0.133,0,-1,0.761,phishing
8,0,7,-1,0.133,0,-1,0.761,phishing
8,0,7,-1,0.133,0,-1,0.758,phishing
8,0,7,-1,0.133,-1,-1,0.777,phishing
8,0,7,-1,0.133,-1,-1,0.777,phishing
8,0,7,-1,0.133,-1,-1,0.777,phishing
8,0,7,-1,0.133,-1,-1,0.777,phishing
8,0,7,-1,0.133,-1,-1,0.777,phishing
8,0,7,-1,0.133,-1,-1,0.777,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.769,phishing
8,0,7,-1,0.133,-1,-1,0.761,phishing
8,0,7,-1,0.133,-1,-1,0.761,phishing
8,0,7,-1,0.133,-1,-1,0.761,phishing
8,0,7,-1,0.133,-1,-1,0.761,phishing
8,0,7,-1,0.133,-1,-1,0.749,phishing
8,0,7,-1,0.106,0,-1,0.716,phishing
8,0,7,-1,0.093,0,-1,0.707,phishing
8,0,7,-1,0.093,0,-1,0.692,phishing
8,0,7,-1,0.055,-1,-1,0.668,phishing
8,0,7,-1,0,-1,-1,0.718,phishing
7,0,9,0,0.427,0.161,0.189,0.702,phishing
7,0,9,0,0.427,0.161,0.189,0.693,phishing
7,0,9,-1,0.427,0,-1,0.704,phishing
7,0,9,-1,0.427,0,-1,0.7,phishing
7,0,7,0,0.313,0.604,0.684,0.698,phishing
7,0,7,-1,0.313,0,-1,0.698,phishing
7,0,7,-1,0.234,0,-1,0.756,phishing
7,0,7,-1,0.205,0.25,-1,0.752,phishing
7,0,7,-1,0,0,-1,0.757,phishing
7,0,6,3,0,0.125,0.143,0.711,phishing
7,0,6,3,0,0.091,0.083,0.711,phishing
7,0,6,3,0,0.091,0.083,0.711,phishing
7,0,6,3,0,0.091,0.083,0.711,phishing
7,0,6,3,0,0.091,0.083,0.711,phishing
7,0,6,3,0,0.083,0.091,0.714,phishing
7,0,6,3,0,0.083,0.083,0.714,phishing
7,0,6,3,0,0.083,0.083,0.711,phishing
7,0,6,3,0,0.053,0.05,0.711,phishing
7,0,6,3,0,0.053,0.05,0.711,phishing
7,0,6,3,0,0,0,0.714,phishing
7,0,6,3,0,0,0,0.711,phishing
7,0,6,3,0,0,0,0.711,phishing
7,0,6,0,0,0.628,0.65,0.713,phishing
7,0,6,0,0,0.529,0.547,0.713,phishing
7,0,6,0,0,0.512,0.53,0.713,phishing
7,0,6,0,0,0.125,0.111,0.711,phishing
7,0,6,0,0,0.067,0.063,0.711,phishing
7,0,6,0,0,0.063,0.059,0.711,phishing
7,0,6,0,0,0.063,0.059,0.711,phishing
7,0,6,0,0,0.063,0.059,0.711,phishing
7,0,6,0,0,0,0,0.711,phishing
7,0,6,-1,0.205,1,-1,0.752,phishing
7,0,6,-1,0.205,1,-1,0.752,phishing
7,0,6,-1,0.108,0,-1,0.751,phishing
7,0,6,-1,0.026,-1,-1,0.673,phishing
7,0,6,-1,0.013,-1,-1,0.67,phishing
7,0,6,-1,0,0.625,-1,0.713,phishing
7,0,6,-1,0,0,-1,0.744,phishing
7,0,6,-1,0,0,-1,0.714,phishing
7,0,6,-1,0,0,-1,0.713,phishing
7,0,6,-1,0,0,-1,0.641,phishing
7,0,6,-1,0,0,-1,0.641,phishing
7,0,6,-1,0,-1,-1,0.748,phishing
7,0,6,-1,0,-1,-1,0.713,phishing
7,0,6,-1,0,-1,-1,0.641,phishing
6,0,8,32,0,0.045,0.014,0.784,phishing
6,0,8,32,0,0.045,0.014,0.769,phishing
6,0,8,32,0,0.045,0.014,0.763,phishing
6,0,8,31,0,0,0.014,0.784,phishing
6,0,8,-1,0,0,-1,0.712,phishing
6,0,7,-1,0.136,0,-1,0.798,phishing
6,0,7,-1,0.114,0,-1,0.749,phishing
6,0,7,-1,0.091,0,-1,0.794,phishing
6,0,7,-1,0.091,0,-1,0.781,phishing
6,0,7,-1,0.091,0,-1,0.772,phishing
6,0,7,-1,0.091,0,-1,0.758,phishing
6,0,7,-1,0.068,0,-1,0.783,phishing
6,0,7,-1,0.068,0,-1,0.764,phishing
6,0,7,-1,0.068,0,-1,0.761,phishing
6,0,7,-1,0.068,0,-1,0.751,phishing
6,0,7,-1,0.045,0,-1,0.789,phishing
6,0,7,-1,0.045,0,-1,0.789,phishing
6,0,7,-1,0.045,0,-1,0.776,phishing
6,0,7,-1,0.045,0,-1,0.776,phishing
6,0,7,-1,0.045,0,-1,0.773,phishing
6,0,7,-1,0.045,0,-1,0.773,phishing
6,0,7,-1,0.045,0,-1,0.771,phishing
6,0,7,-1,0.045,0,-1,0.769,phishing
6,0,7,-1,0.045,0,-1,0.764,phishing
6,0,7,-1,0.045,0,-1,0.761,phishing
6,0,7,-1,0.045,0,-1,0.758,phishing
6,0,7,-1,0.045,0,-1,0.751,phishing
6,0,7,-1,0.045,0,-1,0.751,phishing
6,0,7,-1,0.045,0,-1,0.751,phishing
6,0,7,-1,0.045,0,-1,0.746,phishing
6,0,7,-1,0.045,0,-1,0.739,phishing
6,0,7,-1,0.045,0,-1,0.726,phishing
6,0,7,-1,0.045,0,-1,0.721,phishing
6,0,7,-1,0.026,0,-1,0.76,phishing
6,0,7,-1,0.023,0,-1,0.789,phishing
6,0,7,-1,0.023,0,-1,0.773,phishing
6,0,7,-1,0.023,0,-1,0.758,phishing
6,0,7,-1,0.023,0,-1,0.754,phishing
6,0,7,-1,0.023,0,-1,0.748,phishing
6,0,7,-1,0.023,0,-1,0.748,phishing
6,0,7,-1,0.023,0,-1,0.747,phishing
6,0,7,-1,0.023,0,-1,0.741,phishing
6,0,7,-1,0.023,0,-1,0.736,phishing
6,0,7,-1,0.023,0,-1,0.736,phishing
6,0,7,-1,0.023,0,-1,0.734,phishing
6,0,7,-1,0.023,0,-1,0.734,phishing
6,0,7,-1,0.023,0,-1,0.729,phishing
6,0,7,-1,0.023,0,-1,0.729,phishing
6,0,7,-1,0.023,0,-1,0.724,phishing
6,0,7,-1,0,0,-1,0.774,phishing
6,0,7,-1,0,0,-1,0.773,phishing
6,0,7,-1,0,0,-1,0.764,phishing
6,0,7,-1,0,0,-1,0.759,phishing
6,0,7,-1,0,0,-1,0.753,phishing
6,0,7,-1,0,0,-1,0.751,phishing
6,0,7,-1,0,0,-1,0.749,phishing
6,0,7,-1,0,0,-1,0.743,phishing
6,0,7,-1,0,0,-1,0.739,phishing
6,0,7,-1,0,0,-1,0.738,phishing
6,0,7,-1,0,0,-1,0.726,phishing
6,0,6,3,0.111,0.2,0,0.779,phishing
6,0,6,-1,0.303,0,-1,0.675,phishing
6,0,6,-1,0.176,0.167,-1,0.762,malware
6,0,6,-1,0.176,0.167,-1,0.762,malware
6,0,6,-1,0.176,0.167,-1,0.762,malware
6,0,6,-1,0.153,0,-1,0.788,phishing
6,0,6,-1,0.153,0,-1,0.748,phishing
6,0,6,-1,0.138,0,-1,0.815,phishing
6,0,6,-1,0.138,0,-1,0.77,phishing
6,0,6,-1,0.138,0,-1,0.768,phishing
6,0,6,-1,0.136,0,-1,0.772,phishing
6,0,6,-1,0.121,0,-1,0.785,phishing
6,0,6,-1,0.121,0,-1,0.779,phishing
6,0,6,-1,0.121,0,-1,0.77,phishing
6,0,6,-1,0.121,0,-1,0.757,phishing
6,0,6,-1,0.103,0,-1,0.801,phishing
6,0,6,-1,0.103,0,-1,0.784,phishing
6,0,6,-1,0.103,0,-1,0.773,phishing
6,0,6,-1,0.103,0,-1,0.754,phishing
6,0,6,-1,0.102,0,-1,0.754,phishing
6,0,6,-1,0.086,0,-1,0.784,phishing
6,0,6,-1,0.086,0,-1,0.775,phishing
6,0,6,-1,0.086,0,-1,0.772,phishing
6,0,6,-1,0.086,0,-1,0.752,phishing
6,0,6,-1,0.075,0,-1,0.764,phishing
6,0,6,-1,0.075,0,-1,0.755,phishing
6,0,6,-1,0.075,0,-1,0.753,phishing
6,0,6,-1,0.069,0,-1,0.796,phishing
6,0,6,-1,0.069,0,-1,0.776,phishing
6,0,6,-1,0.069,0,-1,0.769,phishing
6,0,6,-1,0.069,0,-1,0.768,phishing
6,0,6,-1,0.052,0,-1,0.776,phishing
6,0,6,-1,0.052,0,-1,0.774,phishing
6,0,6,-1,0.052,0,-1,0.772,phishing
6,0,6,-1,0.052,0,-1,0.758,phishing
6,0,6,-1,0.052,0,-1,0.758,phishing
6,0,6,-1,0.052,0,-1,0.749,phishing
6,0,6,-1,0.052,0,-1,0.737,phishing
6,0,6,-1,0.05,0,-1,0.768,phishing
6,0,6,-1,0.05,0,-1,0.753,phishing
6,0,6,-1,0.05,0,-1,0.753,phishing
6,0,6,-1,0.05,0,-1,0.752,phishing
6,0,6,-1,0.034,0,-1,0.779,phishing
6,0,6,-1,0.034,0,-1,0.777,phishing
6,0,6,-1,0.03,0,-1,0.741,phishing
6,0,6,-1,0.025,0,-1,0.762,phishing
6,0,6,-1,0.025,0,-1,0.761,phishing
6,0,6,-1,0.025,0,-1,0.761,phishing
6,0,6,-1,0.025,0,-1,0.759,phishing
6,0,6,-1,0.025,0,-1,0.746,phishing
6,0,6,-1,0.025,0,-1,0.74,phishing
6,0,6,-1,0.025,0,-1,0.738,phishing
6,0,6,-1,0.025,0,-1,0.733,phishing
6,0,6,-1,0.025,0,-1,0.713,phishing
6,0,6,-1,0.017,0,-1,0.764,phishing
6,0,6,-1,0.017,0,-1,0.758,phishing
6,0,6,-1,0.017,0,-1,0.743,phishing
6,0,6,-1,0.017,0,-1,0.73,phishing
6,0,6,-1,0,0,-1,0.854,phishing
6,0,6,-1,0,0,-1,0.839,phishing
6,0,6,-1,0,0,-1,0.839,phishing
6,0,6,-1,0,0,-1,0.834,phishing
6,0,6,-1,0,0,-1,0.832,phishing
6,0,6,-1,0,0,-1,0.832,phishing
6,0,6,-1,0,0,-1,0.832,phishing
6,0,6,-1,0,0,-1,0.832,phishing
6,0,6,-1,0,0,-1,0.832,phishing
6,0,6,-1,0,0,-1,0.832,phishing
6,0,6,-1,0,0,-1,0.817,phishing
6,0,6,-1,0,0,-1,0.816,phishing
6,0,6,-1,0,0,-1,0.816,phishing
6,0,6,-1,0,0,-1,0.816,phishing
6,0,6,-1,0,0,-1,0.816,phishing
6,0,6,-1,0,0,-1,0.816,phishing
6,0,6,-1,0,0,-1,0.816,phishing
6,0,6,-1,0,0,-1,0.81,phishing
6,0,6,-1,0,0,-1,0.81,phishing
6,0,6,-1,0,0,-1,0.81,phishing
6,0,6,-1,0,0,-1,0.795,phishing
6,0,6,-1,0,0,-1,0.795,phishing
6,0,6,-1,0,0,-1,0.784,phishing
6,0,6,-1,0,0,-1,0.773,phishing
6,0,6,-1,0,0,-1,0.773,phishing
6,0,6,-1,0,0,-1,0.773,phishing
6,0,6,-1,0,0,-1,0.77,malware
6,0,6,-1,0,0,-1,0.762,phishing
6,0,6,-1,0,0,-1,0.748,phishing
6,0,6,-1,0,0,-1,0.74,phishing
6,0,6,-1,0,0,-1,0.731,phishing
6,0,6,-1,0,0,-1,0.706,phishing
6,0,6,-1,0,0,-1,0.697,phishing
6,0,6,-1,0,0,-1,0.692,phishing
6,0,5,0,0,0.421,0.471,0.735,phishing
6,0,5,-1,0.263,0,-1,0.744,phishing
6,0,5,-1,0.03,0,-1,0.741,phishing
6,0,5,-1,0,0.813,-1,0.652,phishing
6,0,5,-1,0,0.656,-1,0.729,phishing
6,0,5,-1,0,0.594,-1,0.699,phishing
6,0,5,-1,0,0.563,-1,0.729,phishing
6,0,5,-1,0,0.563,-1,0.68,phishing
6,0,5,-1,0,0.531,-1,0.729,phishing
6,0,5,-1,0,0.531,-1,0.729,phishing
6,0,5,-1,0,0,-1,0.744,phishing
6,0,5,-1,0,0,-1,0.732,phishing
6,0,5,-1,0,0,-1,0.731,phishing
6,0,5,-1,0,-1,-1,0.709,phishing
5,1,5,-1,0,0,-1,0.728,malware
5,0,12,22,0.091,0.125,0,0.776,phishing
5,0,12,22,0.091,0.077,0,0.776,phishing
5,0,8,0,0,0.063,0,0.759,phishing
5,0,7,33,0,0.423,0.04,0.769,spam
5,0,7,33,0,0.419,0.04,0.769,spam
5,0,7,33,0,0.419,0.04,0.769,spam
5,0,7,33,0,0.398,0.031,0.769,spam
5,0,7,33,0,0.385,0.04,0.769,spam
5,0,7,33,0,0.385,0.04,0.769,spam
5,0,7,33,0,0.377,0.04,0.769,spam
5,0,7,33,0,0.377,0.032,0.769,spam
5,0,7,33,0,0.36,0.031,0.769,spam
5,0,7,33,0,0.359,0.04,0.769,spam
5,0,7,33,0,0.359,0.04,0.769,spam
5,0,7,33,0,0.358,0.031,0.769,spam
5,0,7,33,0,0.356,0.04,0.769,spam
5,0,7,33,0,0.356,0.031,0.769,spam
5,0,7,33,0,0.354,0.031,0.769,spam
5,0,7,33,0,0.352,0.032,0.769,spam
5,0,7,33,0,0.352,0.032,0.769,spam
5,0,7,33,0,0.35,0.04,0.769,spam
5,0,7,33,0,0.348,0.031,0.769,spam
5,0,7,33,0,0.348,0.031,0.769,spam
5,0,7,33,0,0.342,0.032,0.769,spam
5,0,7,33,0,0.342,0.031,0.769,spam
5,0,7,33,0,0.342,0.031,0.769,spam
5,0,7,33,0,0.341,0.04,0.769,spam
5,0,7,33,0,0.34,0.032,0.769,spam
5,0,7,33,0,0.336,0.04,0.769,spam
5,0,7,33,0,0.336,0.04,0.769,spam
5,0,7,33,0,0.336,0.04,0.769,spam
5,0,7,33,0,0.336,0.04,0.769,spam
5,0,7,33,0,0.335,0.032,0.769,spam
5,0,7,33,0,0.335,0.032,0.769,spam
5,0,7,33,0,0.333,0.032,0.769,spam
5,0,7,33,0,0.331,0.04,0.769,spam
5,0,7,33,0,0.331,0.04,0.769,spam
5,0,7,33,0,0.331,0.04,0.769,spam
5,0,7,33,0,0.331,0.04,0.769,spam
5,0,7,33,0,0.327,0.031,0.769,spam
5,0,7,33,0,0.326,0.04,0.769,spam
5,0,7,33,0,0.326,0.04,0.769,spam
5,0,7,33,0,0.326,0.04,0.769,spam
5,0,7,33,0,0.326,0.04,0.769,spam
5,0,7,33,0,0.326,0.04,0.769,spam
5,0,7,33,0,0.323,0.031,0.769,spam
5,0,7,33,0,0.321,0.032,0.769,spam
5,0,7,33,0,0.317,0.032,0.769,spam
5,0,7,33,0,0.315,0.031,0.769,spam
5,0,7,33,0,0.307,0.04,0.769,spam
5,0,7,33,0,0.296,0.04,0.769,spam
5,0,7,33,0,0.291,0.031,0.769,spam
5,0,7,33,0,0.283,0.031,0.769,spam
5,0,7,33,0,0.267,0.04,0.769,spam
5,0,7,33,0,0.243,0.04,0.769,spam
5,0,7,33,0,0.136,0.04,0.769,spam
5,0,7,33,0,0.136,0.04,0.769,spam
5,0,7,33,0,0.136,0.04,0.769,spam
5,0,7,33,0,0.136,0.04,0.769,spam
5,0,7,33,0,0.136,0.04,0.769,spam
5,0,7,33,0,0.116,0.04,0.769,spam
5,0,7,33,0,0.116,0.04,0.769,spam
5,0,7,33,0,0.116,0.04,0.769,spam
5,0,7,33,0,0.116,0.04,0.769,spam
5,0,7,33,0,0.116,0.031,0.769,spam
5,0,7,33,0,0.116,0.031,0.769,spam
5,0,7,33,0,0.113,0.04,0.769,spam
5,0,7,33,0,0.113,0.04,0.769,spam
5,0,7,33,0,0.113,0.04,0.769,spam
5,0,7,33,0,0.098,0.04,0.769,spam
5,0,7,33,0,0.098,0.04,0.769,spam
5,0,7,33,0,0.098,0.04,0.769,spam
5,0,7,33,0,0.098,0.04,0.769,spam
5,0,7,33,0,0.098,0.04,0.769,spam
5,0,7,33,0,0.098,0.04,0.769,spam
5,0,7,33,0,0.098,0.04,0.769,spam
5,0,7,33,0,0.098,0.04,0.769,spam
5,0,7,33,0,0.098,0.031,0.769,spam
5,0,7,33,0,0.098,0.031,0.769,spam
5,0,7,33,0,0.098,0.031,0.769,spam
5,0,7,33,0,0.083,0.031,0.769,spam
5,0,7,23,0,0.045,0.016,0.827,phishing
5,0,7,14,0,0.031,0.036,0.77,spam
5,0,7,14,0,0.031,0.036,0.77,spam
5,0,7,14,0,0.031,0.036,0.77,spam
5,0,7,14,0,0.016,0.018,0.77,spam
5,0,7,14,0,0.016,0.018,0.77,spam
5,0,7,14,0,0.016,0.018,0.77,spam
5,0,7,14,0,0.016,0.018,0.77,spam
5,0,7,14,0,0.016,0.018,0.77,spam
5,0,7,6,0,0.083,0.022,0.827,phishing
5,0,7,-1,0,0,-1,0.774,phishing
5,0,7,-1,0,0,-1,0.76,phishing
5,0,6,-1,0.138,0,-1,0.773,phishing
5,0,6,-1,0.073,0,-1,0.721,phishing
5,0,6,-1,0,0.222,-1,0.788,spam
5,0,6,-1,0,0.125,-1,0.788,spam
5,0,6,-1,0,0.125,-1,0.788,spam
5,0,6,-1,0,0.118,-1,0.788,spam
5,0,6,-1,0,0.091,-1,0.745,phishing
5,0,5,17,0,0.039,0.039,0.818,spam
5,0,5,17,0,0.038,0.038,0.818,spam
5,0,5,17,0,0.037,0.038,0.818,spam
5,0,5,16,0,0.017,0,0.719,phishing
5,0,5,11,0,0.506,0.556,0.709,phishing
5,0,5,10,0,0.041,0.041,0.818,spam
5,0,5,8,0,0,0,0.709,phishing
5,0,5,7,0,0.014,0.021,0.769,spam
5,0,5,6,0,0,0,0.769,spam
5,0,5,4,0,0.364,0.405,0.769,spam
5,0,5,4,0,0.356,0.397,0.769,spam
5,0,5,4,0,0.352,0.392,0.769,spam
5,0,5,4,0,0.345,0.385,0.769,spam
5,0,5,4,0,0.345,0.385,0.769,spam
5,0,5,4,0,0.345,0.385,0.769,spam
5,0,5,4,0,0.333,0.372,0.769,spam
5,0,5,4,0,0.333,0.372,0.769,spam
5,0,5,4,0,0.333,0.372,0.769,spam
5,0,5,4,0,0.314,0.351,0.769,spam
5,0,5,4,0,0.314,0.351,0.769,spam
5,0,5,4,0,0.31,0.346,0.769,spam
5,0,5,4,0,0.31,0.346,0.769,spam
5,0,5,4,0,0.302,0.338,0.769,spam
5,0,5,4,0,0.287,0.321,0.769,spam
5,0,5,4,0,0.287,0.321,0.769,spam
5,0,5,4,0,0.287,0.321,0.769,spam
5,0,5,4,0,0.279,0.312,0.769,spam
5,0,5,4,0,0.276,0.308,0.769,spam
5,0,5,4,0,0.267,0.299,0.769,spam
5,0,5,4,0,0.267,0.299,0.769,spam
5,0,5,4,0,0.26,0.297,0.769,spam
5,0,5,4,0,0.256,0.286,0.769,spam
5,0,5,4,0,0.253,0.282,0.769,spam
5,0,5,4,0,0.253,0.282,0.769,spam
5,0,5,4,0,0.218,0.244,0.769,spam
5,0,5,4,0,0.146,0.188,0.769,spam
5,0,5,4,0,0.146,0.188,0.769,spam
5,0,5,4,0,0.125,0.161,0.769,spam
5,0,5,4,0,0.125,0.161,0.769,spam
5,0,5,4,0,0.125,0.161,0.769,spam
5,0,5,4,0,0.125,0.161,0.769,spam
5,0,5,4,0,0.125,0.161,0.769,spam
5,0,5,3,0.034,0.184,0,0.785,phishing
5,0,5,0,0.091,0.194,0.333,0.801,spam
5,0,5,0,0,0.533,0.842,0.795,phishing
5,0,5,0,0,0.443,0.508,0.769,spam
5,0,5,0,0,0.443,0.508,0.769,spam
5,0,5,0,0,0.435,0.5,0.769,spam
5,0,5,0,0,0.435,0.5,0.769,spam
5,0,5,0,0,0.429,0.492,0.769,spam
5,0,5,0,0,0.429,0.492,0.769,spam
5,0,5,0,0,0.426,0.492,0.769,spam
5,0,5,0,0,0.42,0.483,0.769,spam
5,0,5,0,0,0.42,0.483,0.769,spam
5,0,5,0,0,0.42,0.483,0.769,spam
5,0,5,0,0,0.42,0.483,0.769,spam
5,0,5,0,0,0.42,0.483,0.769,spam
5,0,5,0,0,0.418,0.5,0.769,spam
5,0,5,0,0,0.414,0.475,0.769,spam
5,0,5,0,0,0.412,0.475,0.769,spam
5,0,5,0,0,0.412,0.475,0.769,spam
5,0,5,0,0,0.412,0.475,0.769,spam
5,0,5,0,0,0.406,0.467,0.769,spam
5,0,5,0,0,0.406,0.467,0.769,spam
5,0,5,0,0,0.406,0.467,0.769,spam
5,0,5,0,0,0.4,0.459,0.769,spam
5,0,5,0,0,0.4,0.459,0.769,spam
5,0,5,0,0,0.4,0.455,0.769,spam
5,0,5,0,0,0.397,0.458,0.769,spam
5,0,5,0,0,0.397,0.458,0.769,spam
5,0,5,0,0,0.397,0.458,0.769,spam
5,0,5,0,0,0.397,0.458,0.769,spam
5,0,5,0,0,0.393,0.438,0.769,spam
