domain_token_count,avgdomaintokenlen,tld,domainlength,pathurlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,NumberofDotsinURL,CharacterContinuityRate,host_letter_count,LongestPathTokenLength,SymbolCount_Domain,Entropy_Domain,class
2.00,3.50,2.00,8.00,0.85,0.25,0.08,10.75,1.00,0.63,7.00,70.00,1.00,0.92,benign
2.00,4.00,2.00,9.00,0.79,5.44,0.12,6.67,2.00,0.78,5.00,53.00,1.00,0.86,benign
2.00,5.50,2.00,12.00,0.72,0.17,0.18,4.00,1.00,0.75,11.00,22.00,1.00,0.86,benign
2.00,8.00,2.00,17.00,0.56,0.12,0.31,1.76,1.00,0.82,16.00,25.00,1.00,0.79,benign
2.00,4.00,2.00,9.00,0.86,2.56,0.08,11.33,2.00,0.67,8.00,44.00,1.00,0.93,benign
2.00,5.00,2.00,11.00,0.67,0.18,0.19,3.45,1.00,0.73,10.00,32.00,1.00,1.00,benign
2.00,7.00,2.00,15.00,0.75,0.13,0.17,4.33,1.00,0.80,14.00,24.00,1.00,0.90,benign
3.00,2.67,3.00,10.00,0.71,0.20,0.17,4.20,3.00,0.40,8.00,10.00,2.00,0.80,benign
2.00,4.00,2.00,9.00,0.71,0.22,0.16,4.44,1.00,0.78,8.00,32.00,1.00,0.76,benign
2.00,4.50,2.00,10.00,0.83,0.20,0.10,8.30,1.00,0.70,9.00,68.00,1.00,0.94,benign
2.00,6.50,2.00,14.00,0.78,0.14,0.15,5.29,1.00,0.79,13.00,56.00,1.00,0.84,benign
2.00,6.00,2.00,13.00,0.81,0.15,0.12,6.77,1.00,0.77,12.00,73.00,1.00,0.83,benign
2.00,5.50,2.00,12.00,0.77,0.17,0.14,5.42,1.00,0.75,11.00,60.00,1.00,1.00,benign
2.00,7.00,2.00,15.00,0.75,0.13,0.17,4.33,1.00,0.80,14.00,24.00,1.00,0.90,benign
2.00,5.00,2.00,11.00,0.74,4.27,0.16,4.73,1.00,0.82,10.00,51.00,1.00,0.89,benign
2.00,5.50,2.00,12.00,0.67,0.17,0.21,3.25,2.00,0.83,11.00,33.00,1.00,0.86,benign
2.00,7.50,2.00,16.00,0.67,0.13,0.23,2.94,1.00,0.81,15.00,38.00,1.00,0.94,benign
2.00,5.50,2.00,12.00,0.87,5.33,0.09,10.17,11.00,0.75,11.00,40.00,1.00,0.86,benign
2.00,5.50,2.00,12.00,0.85,4.33,0.09,9.17,9.00,0.75,11.00,40.00,1.00,0.86,benign
2.00,6.00,2.00,13.00,0.84,5.69,0.11,7.92,2.00,0.77,12.00,77.00,1.00,0.96,benign
3.00,4.33,3.00,15.00,0.75,0.13,0.17,4.47,2.00,0.60,13.00,19.00,2.00,0.77,benign
2.00,5.00,2.00,11.00,0.69,2.82,0.19,3.73,2.00,0.73,10.00,35.00,1.00,0.89,benign
3.00,3.33,3.00,12.00,0.77,0.17,0.15,5.17,2.00,0.50,10.00,21.00,2.00,0.91,benign
2.00,2.50,2.00,6.00,0.87,0.33,0.06,14.00,1.00,0.67,5.00,75.00,1.00,1.00,benign
3.00,3.67,3.00,13.00,0.76,0.15,0.16,4.77,3.00,0.54,11.00,38.00,2.00,0.92,benign
2.00,2.50,2.00,6.00,0.86,0.33,0.07,13.17,1.00,0.67,5.00,50.00,1.00,1.00,benign
2.00,5.50,2.00,12.00,0.83,0.17,0.11,7.50,1.00,0.75,9.00,64.00,1.00,1.00,benign
2.00,5.50,2.00,12.00,0.72,0.17,0.18,4.00,1.00,0.75,11.00,22.00,1.00,0.86,benign
2.00,4.50,2.00,10.00,0.80,0.20,0.12,6.60,1.00,0.70,9.00,23.00,1.00,0.94,benign
2.00,4.00,2.00,9.00,0.71,0.22,0.16,4.56,1.00,0.67,8.00,15.00,1.00,0.83,benign
2.00,5.00,2.00,11.00,0.69,2.64,0.19,3.73,1.00,0.73,10.00,30.00,1.00,0.95,benign
2.00,8.00,2.00,17.00,0.69,0.12,0.22,3.12,2.00,0.82,16.00,38.00,1.00,0.80,benign
2.00,5.50,2.00,12.00,0.65,0.17,0.22,2.92,2.00,0.83,11.00,29.00,1.00,0.86,benign
2.00,5.00,2.00,11.00,0.82,0.18,0.11,7.45,1.00,0.73,10.00,36.00,1.00,0.95,benign
2.00,2.50,2.00,6.00,0.80,0.33,0.09,8.50,2.00,0.67,5.00,17.00,1.00,1.00,benign
2.00,7.50,2.00,16.00,0.55,0.13,0.31,1.75,1.00,0.81,15.00,20.00,1.00,0.94,benign
2.00,5.50,2.00,12.00,0.73,0.17,0.17,4.25,2.00,0.75,11.00,45.00,1.00,0.95,benign
2.00,5.50,2.00,12.00,0.64,0.17,0.23,2.83,2.00,0.83,11.00,28.00,1.00,0.86,benign
2.00,4.50,2.00,10.00,0.74,1.60,0.14,5.10,2.00,0.70,9.00,23.00,1.00,1.00,benign
2.00,4.00,2.00,9.00,0.81,6.56,0.10,7.78,2.00,0.78,5.00,63.00,1.00,0.86,benign
2.00,3.00,2.00,7.00,0.83,0.29,0.09,9.57,1.00,0.71,5.00,66.00,1.00,0.90,benign
2.00,3.50,2.00,8.00,0.85,0.25,0.08,10.50,1.00,0.63,7.00,74.00,1.00,0.92,benign
2.00,7.00,2.00,15.00,0.66,0.13,0.23,2.80,1.00,0.80,14.00,29.00,1.00,0.88,benign
2.00,5.00,2.00,11.00,0.69,2.82,0.19,3.73,2.00,0.73,10.00,35.00,1.00,0.89,benign
3.00,5.00,3.00,17.00,0.57,0.12,0.30,1.88,3.00,0.65,15.00,18.00,2.00,0.78,benign
2.00,5.50,2.00,12.00,0.65,0.17,0.22,3.00,2.00,0.83,11.00,22.00,1.00,0.95,benign
2.00,4.50,2.00,10.00,0.88,0.20,0.07,12.90,1.00,0.70,9.00,120.00,1.00,1.00,benign
3.00,4.33,3.00,15.00,0.66,0.13,0.23,2.80,2.00,0.60,13.00,16.00,2.00,0.77,benign
2.00,3.50,2.00,8.00,0.73,0.25,0.15,5.00,2.00,0.63,7.00,18.00,1.00,0.92,benign
3.00,2.67,3.00,10.00,0.80,0.20,0.11,7.10,2.00,0.40,8.00,45.00,2.00,0.80,benign
2.00,8.00,2.00,17.00,0.65,0.12,0.25,2.65,2.00,0.82,16.00,39.00,1.00,0.79,benign
2.00,6.50,2.00,14.00,0.68,0.14,0.22,3.14,2.00,0.50,12.00,12.00,1.00,0.82,benign
2.00,7.00,2.00,15.00,0.67,0.13,0.23,2.93,1.00,0.87,14.00,20.00,1.00,0.93,benign
2.00,5.50,2.00,12.00,0.71,3.08,0.17,4.17,2.00,0.75,11.00,41.00,1.00,0.84,benign
2.00,7.00,2.00,15.00,0.61,0.13,0.27,2.27,1.00,0.80,14.00,20.00,1.00,0.88,benign
3.00,2.67,3.00,10.00,0.74,0.20,0.14,5.10,2.00,0.40,8.00,30.00,2.00,0.80,benign
2.00,3.00,2.00,7.00,0.75,0.29,0.12,6.14,1.00,0.57,6.00,30.00,1.00,1.00,benign
2.00,4.50,2.00,10.00,0.85,0.20,0.09,9.80,2.00,0.80,9.00,85.00,1.00,0.70,benign
2.00,6.00,2.00,13.00,0.76,0.15,0.15,5.00,1.00,0.77,12.00,38.00,1.00,0.92,benign
2.00,5.50,2.00,12.00,0.73,0.17,0.16,4.42,1.00,0.75,11.00,27.00,1.00,0.89,benign
2.00,4.50,2.00,10.00,0.79,0.20,0.13,6.30,1.00,0.70,9.00,43.00,1.00,1.00,benign
2.00,8.50,2.00,18.00,0.49,0.11,0.35,1.39,1.00,0.83,17.00,14.00,1.00,0.80,benign
2.00,7.00,2.00,15.00,0.72,0.13,0.19,3.80,1.00,0.80,14.00,56.00,1.00,0.90,benign
2.00,3.00,2.00,7.00,0.85,0.29,0.07,11.71,1.00,0.57,6.00,65.00,1.00,0.80,benign
2.00,5.50,2.00,12.00,0.63,0.17,0.23,2.75,2.00,0.58,10.00,18.00,1.00,0.91,benign
2.00,6.50,2.00,14.00,0.61,0.14,0.25,2.43,1.00,0.50,12.00,13.00,1.00,0.82,benign
2.00,6.00,2.00,13.00,0.77,0.15,0.15,5.15,2.00,0.77,12.00,27.00,1.00,0.92,benign
2.00,5.50,2.00,12.00,0.78,0.17,0.14,5.67,1.00,0.75,11.00,59.00,1.00,0.95,benign
2.00,7.00,2.00,15.00,0.84,1.33,0.11,7.60,1.00,0.80,14.00,78.00,1.00,0.88,benign
2.00,4.00,2.00,9.00,0.71,0.22,0.15,4.67,1.00,0.78,5.00,23.00,1.00,0.93,benign
2.00,4.00,2.00,9.00,0.72,2.56,0.16,4.67,2.00,0.67,8.00,27.00,1.00,0.86,benign
2.00,6.00,2.00,13.00,0.70,0.15,0.20,3.54,1.00,0.77,12.00,28.00,1.00,0.90,benign
2.00,5.50,2.00,12.00,0.76,0.17,0.15,5.08,1.00,0.75,11.00,59.00,1.00,0.91,benign
2.00,6.50,2.00,14.00,0.77,0.14,0.15,5.14,1.00,0.79,13.00,48.00,1.00,0.87,benign
2.00,3.00,2.00,7.00,0.76,0.29,0.12,6.29,2.00,0.57,6.00,19.00,1.00,0.76,benign
3.00,4.33,3.00,15.00,0.73,0.13,0.19,3.87,2.00,0.60,13.00,25.00,2.00,0.77,benign
2.00,7.50,2.00,16.00,0.57,0.13,0.30,1.94,2.00,0.81,15.00,16.00,1.00,0.89,benign
2.00,4.50,2.00,10.00,0.72,0.20,0.17,4.30,1.00,0.70,6.00,12.00,1.00,1.00,benign
2.00,4.50,2.00,10.00,0.69,0.20,0.19,3.70,2.00,0.80,9.00,24.00,1.00,0.70,benign
2.00,7.00,2.00,15.00,0.80,0.13,0.14,5.73,1.00,0.80,14.00,67.00,1.00,0.90,benign
2.00,4.50,2.00,10.00,0.82,0.20,0.11,7.70,1.00,0.70,9.00,62.00,1.00,0.94,benign
2.00,3.00,2.00,7.00,0.74,0.29,0.13,5.71,1.00,0.71,6.00,16.00,1.00,0.80,benign
2.00,5.50,2.00,12.00,0.68,0.17,0.20,3.33,2.00,0.75,11.00,34.00,1.00,0.95,benign
2.00,7.00,2.00,15.00,0.65,0.13,0.24,2.73,1.00,0.80,14.00,27.00,1.00,0.88,benign
2.00,5.50,2.00,12.00,0.69,0.17,0.19,3.58,2.00,0.83,11.00,37.00,1.00,0.86,benign
2.00,3.50,2.00,8.00,0.74,2.88,0.14,5.25,2.00,0.75,7.00,26.00,1.00,0.92,benign
2.00,4.00,2.00,9.00,0.71,0.22,0.16,4.44,1.00,0.78,8.00,32.00,1.00,0.76,benign
2.00,3.00,2.00,7.00,0.77,0.29,0.12,6.57,1.00,0.57,6.00,33.00,1.00,1.00,benign
2.00,6.50,2.00,14.00,0.81,0.14,0.13,6.36,1.00,0.79,13.00,72.00,1.00,0.85,benign
2.00,5.50,2.00,12.00,0.63,0.17,0.23,2.75,2.00,0.83,11.00,27.00,1.00,0.86,benign
2.00,5.50,2.00,12.00,0.73,0.17,0.17,4.25,1.00,0.75,11.00,38.00,1.00,0.86,benign
2.00,8.50,2.00,18.00,0.55,0.11,0.32,1.72,1.00,0.39,15.00,24.00,1.00,0.86,benign
2.00,7.00,2.00,15.00,0.70,2.00,0.21,3.40,2.00,0.80,14.00,34.00,1.00,0.83,benign
2.00,7.00,2.00,15.00,0.64,1.80,0.25,2.60,1.00,0.80,14.00,38.00,1.00,0.85,benign
3.00,3.67,3.00,13.00,0.65,0.15,0.23,2.85,2.00,0.54,11.00,27.00,2.00,0.88,benign
2.00,6.00,2.00,13.00,0.78,0.15,0.14,5.62,1.00,0.77,12.00,55.00,1.00,0.83,benign
2.00,5.00,2.00,11.00,0.69,0.18,0.19,3.73,1.00,0.73,10.00,19.00,1.00,0.95,benign
2.00,5.50,2.00,12.00,0.73,0.17,0.17,4.25,2.00,0.83,11.00,45.00,1.00,0.86,benign
2.00,7.00,2.00,15.00,0.81,0.13,0.13,6.40,1.00,0.80,14.00,78.00,1.00,0.93,benign
2.00,6.00,2.00,13.00,0.76,0.15,0.16,4.77,2.00,0.85,12.00,48.00,1.00,0.88,benign
2.00,7.00,2.00,15.00,0.73,0.13,0.19,3.87,2.00,0.80,11.00,52.00,1.00,0.80,benign
2.00,7.00,2.00,15.00,0.82,1.07,0.12,6.73,1.00,0.80,14.00,83.00,1.00,0.93,benign
2.00,5.00,2.00,11.00,0.77,0.18,0.14,5.55,1.00,0.73,10.00,21.00,1.00,0.95,benign
2.00,3.00,2.00,7.00,0.86,0.29,0.07,12.14,1.00,0.57,6.00,68.00,1.00,0.80,benign
2.00,6.00,2.00,13.00,0.80,0.15,0.13,6.00,1.00,0.77,12.00,63.00,1.00,0.83,benign
2.00,4.00,2.00,9.00,0.78,2.44,0.12,6.78,1.00,0.78,5.00,46.00,1.00,0.93,benign
2.00,3.00,2.00,7.00,0.84,0.29,0.08,10.57,1.00,0.71,5.00,66.00,1.00,0.90,benign
2.00,6.00,2.00,13.00,0.85,2.77,0.10,8.85,1.00,0.85,12.00,102.00,1.00,0.82,benign
2.00,5.50,2.00,12.00,0.75,0.17,0.16,4.83,1.00,0.75,11.00,51.00,1.00,0.91,benign
2.00,3.50,2.00,8.00,0.83,0.25,0.09,9.25,1.00,0.63,7.00,58.00,1.00,0.92,benign
2.00,7.00,2.00,15.00,0.75,0.13,0.17,4.33,1.00,0.80,14.00,24.00,1.00,0.90,benign
2.00,4.50,2.00,10.00,0.80,1.50,0.11,7.30,1.00,0.70,9.00,60.00,1.00,0.86,benign
2.00,6.50,2.00,14.00,0.72,0.14,0.19,3.79,1.00,0.79,13.00,35.00,1.00,0.87,benign
3.00,4.00,3.00,14.00,0.59,1.14,0.27,2.14,3.00,0.64,12.00,20.00,2.00,0.76,benign
2.00,7.00,2.00,15.00,0.78,0.13,0.15,5.33,1.00,0.80,14.00,63.00,1.00,0.93,benign
3.00,4.33,3.00,15.00,0.77,0.13,0.16,4.87,2.00,0.60,13.00,25.00,2.00,0.77,benign
2.00,6.50,2.00,14.00,0.70,0.14,0.20,3.57,1.00,0.79,13.00,37.00,1.00,0.87,benign
2.00,4.50,2.00,10.00,0.84,7.30,0.09,8.90,2.00,0.70,9.00,77.00,1.00,0.80,benign
2.00,4.50,2.00,10.00,0.86,0.20,0.08,10.30,2.00,0.80,9.00,90.00,1.00,0.70,benign
2.00,8.00,2.00,17.00,0.71,0.12,0.20,3.65,1.00,0.82,16.00,55.00,1.00,0.82,benign
2.00,4.50,2.00,10.00,0.67,0.20,0.20,3.40,2.00,0.70,9.00,20.00,1.00,0.82,benign
2.00,2.50,2.00,6.00,0.82,0.33,0.08,10.17,2.00,0.67,5.00,20.00,1.00,1.00,benign
2.00,5.50,2.00,12.00,0.87,5.67,0.08,10.50,10.00,0.75,11.00,40.00,1.00,0.86,benign
2.00,4.50,2.00,10.00,0.80,0.20,0.12,6.70,1.00,0.70,9.00,66.00,1.00,0.88,benign
2.00,5.50,2.00,12.00,0.69,0.17,0.20,3.50,2.00,0.58,10.00,31.00,1.00,0.91,benign
2.00,5.50,2.00,12.00,0.65,0.17,0.22,3.00,1.00,0.75,11.00,9.00,1.00,0.86,benign
2.00,6.50,2.00,14.00,0.76,1.29,0.16,4.71,1.00,0.79,13.00,45.00,1.00,0.85,benign
2.00,5.50,2.00,12.00,0.85,4.17,0.09,9.00,8.00,0.75,11.00,40.00,1.00,0.86,benign
2.00,3.50,2.00,8.00,0.72,0.25,0.15,4.88,2.00,0.63,7.00,15.00,1.00,0.92,benign
2.00,3.50,2.00,8.00,0.81,0.25,0.10,7.88,1.00,0.88,3.00,45.00,1.00,0.92,benign
2.00,8.00,2.00,17.00,0.74,0.12,0.18,4.06,2.00,0.82,16.00,63.00,1.00,0.79,benign
2.00,5.50,2.00,12.00,0.74,0.17,0.17,4.42,1.00,0.75,11.00,48.00,1.00,1.00,benign
2.00,4.50,2.00,10.00,0.71,0.20,0.17,4.10,2.00,0.70,9.00,23.00,1.00,0.94,benign
2.00,4.00,2.00,9.00,0.75,3.11,0.14,5.22,2.00,0.67,8.00,32.00,1.00,0.86,benign
2.00,4.50,2.00,10.00,0.80,0.20,0.12,6.80,1.00,0.70,9.00,43.00,1.00,1.00,benign
2.00,4.00,2.00,9.00,0.71,0.22,0.16,4.56,1.00,0.67,8.00,21.00,1.00,0.83,benign
2.00,4.50,2.00,10.00,0.70,0.20,0.18,3.90,1.00,0.70,6.00,10.00,1.00,1.00,benign
2.00,5.50,2.00,12.00,0.63,0.17,0.23,2.75,1.00,0.75,11.00,28.00,1.00,1.00,benign
2.00,5.00,2.00,11.00,0.77,0.18,0.14,5.36,1.00,0.64,9.00,51.00,1.00,1.00,benign
2.00,4.50,2.00,10.00,0.81,0.20,0.11,7.10,1.00,0.70,9.00,62.00,1.00,0.88,benign
2.00,3.00,2.00,7.00,0.78,0.29,0.11,7.14,1.00,0.71,6.00,35.00,1.00,1.00,benign
2.00,5.50,2.00,12.00,0.70,0.17,0.19,3.75,2.00,0.83,11.00,39.00,1.00,0.86,benign
2.00,4.50,2.00,10.00,0.69,0.20,0.18,3.80,1.00,0.70,6.00,11.00,1.00,1.00,benign
3.00,4.33,3.00,15.00,0.60,0.13,0.27,2.20,2.00,0.60,13.00,17.00,2.00,0.77,benign
2.00,8.00,2.00,17.00,0.67,0.12,0.24,2.82,1.00,0.82,16.00,43.00,1.00,0.79,benign
2.00,5.50,2.00,12.00,0.63,0.17,0.23,2.75,2.00,0.83,11.00,27.00,1.00,0.86,benign
2.00,6.00,2.00,13.00,0.81,0.15,0.13,6.46,2.00,0.85,12.00,42.00,1.00,0.88,benign
2.00,5.50,2.00,12.00,0.80,0.17,0.13,6.42,2.00,0.75,11.00,64.00,1.00,0.91,benign
2.00,5.00,2.00,11.00,0.65,1.91,0.22,3.00,2.00,0.73,10.00,25.00,1.00,0.89,benign
2.00,6.50,2.00,14.00,0.65,2.21,0.23,2.79,1.00,0.79,13.00,38.00,1.00,0.84,benign
3.00,3.67,3.00,13.00,0.86,0.15,0.09,9.85,2.00,0.54,11.00,109.00,2.00,0.88,benign
2.00,4.50,2.00,10.00,0.69,0.20,0.18,3.80,2.00,0.70,9.00,9.00,1.00,1.00,benign
2.00,5.50,2.00,12.00,0.77,0.17,0.15,5.25,1.00,0.75,11.00,58.00,1.00,1.00,benign
3.00,3.00,3.00,11.00,0.85,0.18,0.09,9.18,2.00,0.55,9.00,88.00,2.00,0.89,benign
2.00,7.00,2.00,15.00,0.70,0.13,0.21,3.40,1.00,0.80,14.00,33.00,1.00,0.90,benign
2.00,7.00,2.00,15.00,0.57,0.13,0.29,1.93,1.00,0.80,14.00,21.00,1.00,0.90,benign
2.00,7.00,2.00,15.00,0.83,3.13,0.11,7.33,4.00,0.87,14.00,33.00,1.00,0.86,benign
2.00,3.50,2.00,8.00,0.81,0.25,0.10,8.13,1.00,0.63,7.00,57.00,1.00,0.92,benign
2.00,2.50,2.00,6.00,0.81,0.33,0.09,9.00,2.00,0.67,5.00,20.00,1.00,1.00,benign
2.00,8.00,2.00,17.00,0.77,0.12,0.16,4.71,1.00,0.82,16.00,51.00,1.00,0.88,benign
2.00,6.00,2.00,13.00,0.70,0.15,0.19,3.62,1.00,0.85,12.00,18.00,1.00,0.83,benign
2.00,4.00,2.00,9.00,0.77,0.22,0.13,5.89,1.00,0.78,8.00,46.00,1.00,0.93,benign
2.00,4.00,2.00,9.00,0.80,0.22,0.11,7.22,2.00,0.67,8.00,44.00,1.00,0.93,benign
2.00,7.50,2.00,16.00,0.57,0.13,0.30,1.94,1.00,0.81,15.00,14.00,1.00,0.94,benign
2.00,4.50,2.00,10.00,0.72,0.20,0.16,4.40,2.00,0.80,9.00,13.00,1.00,0.70,benign
2.00,6.00,2.00,13.00,0.84,6.15,0.10,8.38,2.00,0.77,12.00,83.00,1.00,0.96,benign
2.00,5.50,2.00,12.00,0.65,0.17,0.22,2.92,2.00,0.83,11.00,29.00,1.00,0.86,benign
2.00,6.00,2.00,13.00,0.70,2.54,0.20,3.54,2.00,0.77,12.00,37.00,1.00,0.83,benign
2.00,4.00,2.00,9.00,0.75,3.22,0.14,5.33,2.00,0.67,8.00,33.00,1.00,0.86,benign
2.00,5.50,2.00,12.00,0.72,0.17,0.18,4.00,1.00,0.75,11.00,22.00,1.00,0.86,benign
2.00,5.50,2.00,12.00,0.67,0.17,0.20,3.33,1.00,0.75,11.00,18.00,1.00,0.86,benign
2.00,2.50,2.00,6.00,0.86,0.33,0.07,13.17,1.00,0.67,5.00,50.00,1.00,1.00,benign
2.00,5.50,2.00,12.00,0.74,0.17,0.16,4.50,2.00,0.83,11.00,48.00,1.00,0.86,benign
2.00,6.00,2.00,13.00,0.84,0.15,0.10,8.00,1.00,0.77,12.00,81.00,1.00,0.92,benign
2.00,7.00,2.00,15.00,0.61,0.13,0.27,2.27,1.00,0.80,14.00,6.00,1.00,0.90,benign
2.00,8.00,2.00,17.00,0.78,0.12,0.16,5.00,1.00,0.82,16.00,72.00,1.00,0.82,benign
2.00,5.50,2.00,12.00,0.81,0.17,0.12,6.83,1.00,0.75,11.00,69.00,1.00,0.86,benign
2.00,4.50,2.00,10.00,0.70,0.20,0.18,4.00,1.00,0.70,6.00,11.00,1.00,1.00,benign
2.00,5.00,2.00,11.00,0.80,0.18,0.12,6.73,1.00,0.73,10.00,57.00,1.00,1.00,benign
2.00,6.50,2.00,14.00,0.73,0.64,0.18,4.14,1.00,0.79,13.00,57.00,1.00,0.89,benign
2.00,6.00,2.00,13.00,0.81,2.23,0.12,6.62,1.00,0.85,12.00,65.00,1.00,0.82,benign
2.00,6.50,2.00,14.00,0.75,0.14,0.17,4.43,1.00,0.79,13.00,42.00,1.00,0.89,benign
2.00,3.50,2.00,8.00,0.84,0.25,0.09,9.63,1.00,0.63,7.00,70.00,1.00,0.92,benign
2.00,7.00,2.00,15.00,0.68,0.13,0.22,3.13,1.00,0.80,14.00,46.00,1.00,0.90,benign
2.00,9.50,2.00,20.00,0.71,0.10,0.22,3.30,1.00,0.85,19.00,65.00,1.00,0.84,benign
2.00,7.00,2.00,15.00,0.71,0.13,0.19,3.67,1.00,0.80,14.00,37.00,1.00,0.93,benign
2.00,4.50,2.00,10.00,0.80,0.20,0.12,6.90,1.00,0.70,9.00,62.00,1.00,0.86,benign
2.00,3.50,2.00,8.00,0.73,0.25,0.14,5.13,1.00,0.63,7.00,34.00,1.00,0.92,benign
2.00,4.50,2.00,10.00,0.86,0.20,0.08,10.70,2.00,0.80,9.00,101.00,1.00,0.88,benign
2.00,5.50,2.00,12.00,0.86,4.75,0.09,9.58,9.00,0.75,11.00,40.00,1.00,0.86,benign
2.00,6.00,2.00,13.00,0.77,0.15,0.15,5.23,1.00,0.69,10.00,66.00,1.00,0.88,benign
2.00,6.00,2.00,13.00,0.70,0.15,0.18,3.85,2.00,0.85,12.00,17.00,1.00,0.90,benign
2.00,4.00,2.00,9.00,0.79,0.22,0.12,6.89,1.00,0.78,8.00,55.00,1.00,0.93,benign
3.00,4.33,3.00,15.00,0.78,0.13,0.15,5.20,3.00,0.60,13.00,53.00,2.00,0.82,benign
2.00,8.00,2.00,17.00,0.64,0.12,0.26,2.47,1.00,0.82,16.00,35.00,1.00,0.72,benign
2.00,5.00,2.00,11.00,0.78,0.45,0.14,5.73,2.00,0.82,10.00,16.00,1.00,0.84,benign
2.00,3.00,2.00,7.00,0.80,0.29,0.10,8.14,1.00,0.57,6.00,41.00,1.00,0.80,benign
2.00,8.00,2.00,17.00,0.73,0.12,0.19,3.82,1.00,0.82,16.00,52.00,1.00,0.82,benign
2.00,5.50,2.00,12.00,0.72,0.17,0.18,4.08,1.00,0.75,11.00,22.00,1.00,0.86,benign
3.00,4.33,3.00,15.00,0.80,0.13,0.14,5.87,3.00,0.60,13.00,18.00,2.00,0.77,benign
2.00,7.00,2.00,15.00,0.65,0.13,0.24,2.73,1.00,0.87,14.00,12.00,1.00,0.93,benign
2.00,6.50,2.00,14.00,0.85,0.14,0.10,8.64,3.00,0.79,13.00,88.00,1.00,0.87,benign
2.00,6.00,2.00,13.00,0.72,0.15,0.18,3.92,2.00,0.77,12.00,32.00,1.00,0.82,benign
2.00,5.50,2.00,12.00,0.72,0.17,0.18,4.08,1.00,0.75,11.00,22.00,1.00,0.86,benign
2.00,5.00,2.00,11.00,0.68,0.18,0.20,3.45,1.00,0.73,10.00,29.00,1.00,0.88,benign
2.00,6.50,2.00,14.00,0.65,1.14,0.22,2.93,1.00,0.79,13.00,40.00,1.00,0.89,benign
2.00,5.50,2.00,12.00,0.86,4.83,0.09,9.67,8.00,0.75,11.00,40.00,1.00,0.86,benign
